Name;Aktuierung Bein 1;;;;;;Aktuierung Bein 2;;;;;;Aktuierung Bein 3;;;;;;Rangverlust Plattform-FG;Wertebereich freie Winkel
P3RRPRRR9V4G1P10A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aa
P3RRPRRR9V4G1P10A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;aa
P3RRPRRR9V4G1P1A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;aa
P3RRPRRR9V4G1P1A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;aa
P3RRPRRR9V4G1P2A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aa
P3RRPRRR9V4G1P2A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;aa
P3RRPRRR9V4G1P3A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aa
P3RRPRRR9V4G1P3A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;aa
P3RRPRRR9V4G1P8A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;aa
P3RRPRRR9V4G1P8A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;aa
P3RRPRRR9V4G1P9A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aa
P3RRPRRR9V4G1P9A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;aa
P3RRPRRR9V4G2P10A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aa
P3RRPRRR9V4G2P10A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;aa
P3RRPRRR9V4G2P1A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aa
P3RRPRRR9V4G2P1A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;aa
P3RRPRRR9V4G2P2A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aa
P3RRPRRR9V4G2P2A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;aa
P3RRPRRR9V4G2P3A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aa
P3RRPRRR9V4G2P3A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;aa
P3RRPRRR9V4G2P8A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aa
P3RRPRRR9V4G2P8A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;aa
P3RRPRRR9V4G2P9A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aa
P3RRPRRR9V4G2P9A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;aa
P3RRPRRR9V4G3P10A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aa
P3RRPRRR9V4G3P10A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;aa
P3RRPRRR9V4G3P1A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aa
P3RRPRRR9V4G3P1A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;aa
P3RRPRRR9V4G3P2A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aa
P3RRPRRR9V4G3P2A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;aa
P3RRPRRR9V4G3P3A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aa
P3RRPRRR9V4G3P3A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;aa
P3RRPRRR9V4G3P8A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aa
P3RRPRRR9V4G3P8A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;aa
P3RRPRRR9V4G3P9A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aa
P3RRPRRR9V4G3P9A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;aa
P3RRPRRR9V4G4P10A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aa
P3RRPRRR9V4G4P10A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;aa
P3RRPRRR9V4G4P1A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aa
P3RRPRRR9V4G4P1A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;aa
P3RRPRRR9V4G4P2A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aa
