Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG;Wertebereich theta1,alpha2
P3PRRRR8V2G10P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;pa
P3PRRRR8V2G10P8A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;oo
P3PRRRR8V2G1P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;pa
P3PRRRR8V2G1P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;oo
P3PRRRR8V2G1P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;op
P3PRRRR8V2G1P9A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;ap
P3PRRRR8V2G2P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;oo
P3PRRRR8V2G2P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;pa
P3PRRRR8V2G2P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;op
P3PRRRR8V2G3P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;op
P3PRRRR8V2G3P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;oo
P3PRRRR8V2G3P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;pa
P3PRRRR8V2G4P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;oo
P3PRRRR8V2G4P9A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;ap
P3PRRRR8V2G9P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;oo
P3PRRRR8V2G9P8A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;op
