Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG;Wertebereich freie Winkel
P3RRRRP1V3G1P2A1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;
P3RRRRP1V3G1P3A1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;
P3RRRRP1V3G1P8A1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;2;
P3RRRRP1V3G2P1A1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;2;
P3RRRRP1V3G2P3A1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;
P3RRRRP1V3G2P9A1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;
P3RRRRP1V3G3P1A1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;2;
P3RRRRP1V3G3P2A1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;
P3RRRRP1V3G4P2A1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;
P3RRRRP1V3G9P1A1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;2;
P3RRRRP1V3G9P8A1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;2;
