Name;Aktuierung Bein 1;;;;;;Aktuierung Bein 2;;;;;;Aktuierung Bein 3;;;;;;Rangverlust Plattform-FG;Wertebereich freie Winkel
P3RRRRRR9G1P10A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aa
P3RRRRRR9G1P10A2;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aa
P3RRRRRR9G1P10A3;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;aa
P3RRRRRR9G1P1A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aa
P3RRRRRR9G1P1A2;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aa
P3RRRRRR9G1P1A3;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;aa
P3RRRRRR9G1P2A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aa
P3RRRRRR9G1P2A2;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aa
P3RRRRRR9G1P2A3;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;aa
P3RRRRRR9G1P3A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aa
P3RRRRRR9G1P3A2;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aa
P3RRRRRR9G1P3A3;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;aa
P3RRRRRR9G1P8A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aa
P3RRRRRR9G1P8A2;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aa
P3RRRRRR9G1P8A3;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;aa
P3RRRRRR9G1P9A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aa
P3RRRRRR9G1P9A2;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aa
P3RRRRRR9G1P9A3;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;aa
