Name;Aktuierung Bein 1;;;;;;Aktuierung Bein 2;;;;;;Aktuierung Bein 3;;;;;;Rangverlust Plattform-FG;Wertebereich freie Winkel
P3RRPRRR8G1P10A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;a
P3RRPRRR8G1P10A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;1;a
P3RRPRRR8G1P2A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;a
P3RRPRRR8G1P2A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;1;a
P3RRPRRR8G1P3A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;3;a
P3RRPRRR8G1P3A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;1;a
P3RRPRRR8G1P8A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;4;a
P3RRPRRR8G1P8A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;3;a
P3RRPRRR8G1P9A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;a
P3RRPRRR8G1P9A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;1;a
P3RRPRRR8G2P10A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;a
P3RRPRRR8G2P10A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;a
P3RRPRRR8G2P1A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;3;a
P3RRPRRR8G2P1A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;3;a
P3RRPRRR8G2P2A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;a
P3RRPRRR8G2P2A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;1;a
P3RRPRRR8G2P3A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;a
P3RRPRRR8G2P3A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;1;a
P3RRPRRR8G2P8A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;3;a
P3RRPRRR8G2P8A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;3;a
P3RRPRRR8G2P9A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;a
P3RRPRRR8G2P9A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;a
P3RRPRRR8G3P10A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;a
P3RRPRRR8G3P10A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;a
P3RRPRRR8G3P1A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;3;a
P3RRPRRR8G3P1A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;3;a
P3RRPRRR8G3P2A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;a
P3RRPRRR8G3P2A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;1;a
P3RRPRRR8G3P3A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;a
P3RRPRRR8G3P3A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;1;a
P3RRPRRR8G3P8A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;3;a
P3RRPRRR8G3P8A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;3;a
P3RRPRRR8G3P9A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;a
P3RRPRRR8G3P9A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;a
P3RRPRRR8G4P10A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;a
P3RRPRRR8G4P10A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;a
P3RRPRRR8G4P1A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;3;a
P3RRPRRR8G4P1A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;3;a
P3RRPRRR8G4P2A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;a
P3RRPRRR8G4P2A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;1;a
P3RRPRRR8G4P3A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;a
P3RRPRRR8G4P3A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;1;a
P3RRPRRR8G4P8A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;3;a
P3RRPRRR8G4P8A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;3;a
P3RRPRRR8G4P9A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;a
P3RRPRRR8G4P9A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;a
