Name;Beinkette;Gelenkgruppen
P3PRRR1G1P1;S4PRRR1;1-1-1-1
P3PRRR1G2P2;S4PRRR1;1-1-1-1
P3PRRR1G2P7;S4PRRR1;1-1-1-1
P3PRRR1G3P3;S4PRRR1;1-1-1-1
P3PRRR1G3P7;S4PRRR1;1-1-1-1
P3PRRR1G4P7;S4PRRR1;1-1-1-1
P3PRRR1G9P7;S4PRRR1;1-1-1-1
P3PRRR2G2P3;S4PRRR2;?
P3PRRR2G3P1;S4PRRR2;1-1-1-1
P3PRRR2G4P7;S4PRRR2;1-1-1-1
P3PRRRR10G1P1;S5PRRRR10;1-1-1-2-1
P3PRRRR10G1P9;S5PRRRR10;1-2-2-3-2
P3PRRRR10G2P2;S5PRRRR10;1-1-1-2-1
P3PRRRR10G3P3;S5PRRRR10;1-1-1-2-1
P3PRRRR1G1P3;S5PRRRR1;1-2-3-3-2
P3PRRRR1G2P3;S5PRRRR1;1-2-3-3-2
P3PRRRR1G3P1;S5PRRRR1;1-2-3-3-2
P3PRRRR2G1P2;S5PRRRR2;1-1-1-1-2
P3PRRRR2G1P3;S5PRRRR2;1-1-1-1-2
P3PRRRR2G1P8;S5PRRRR2;1-1-1-1-2
P3PRRRR2G2P1;S5PRRRR2;1-1-1-1-2
P3PRRRR2G2P3;S5PRRRR2;1-1-1-1-2
P3PRRRR2G2P9;S5PRRRR2;1-1-1-1-2
P3PRRRR2G3P1;S5PRRRR2;1-1-1-1-2
P3PRRRR2G3P2;S5PRRRR2;1-1-1-1-2
P3PRRRR2G4P2;S5PRRRR2;1-1-1-1-2
P3PRRRR2G9P1;S5PRRRR2;1-1-1-1-2
P3PRRRR2G9P8;S5PRRRR2;1-1-1-1-2
P3PRRRR2V1G1P2;S5PRRRR2V1;1-1-1-1-2
P3PRRRR2V1G1P3;S5PRRRR2V1;1-1-1-1-2
P3PRRRR2V1G1P8;S5PRRRR2V1;1-1-1-1-2
P3PRRRR2V1G2P1;S5PRRRR2V1;1-1-1-1-2
P3PRRRR2V1G2P3;S5PRRRR2V1;1-1-1-1-2
P3PRRRR2V1G2P9;S5PRRRR2V1;1-1-1-1-2
P3PRRRR2V1G3P1;S5PRRRR2V1;1-1-1-1-2
P3PRRRR2V1G3P2;S5PRRRR2V1;1-1-1-1-2
P3PRRRR2V1G9P1;S5PRRRR2V1;1-1-1-1-2
P3PRRRR2V1G9P8;S5PRRRR2V1;1-1-1-1-2
P3PRRRR3G1P2;S5PRRRR3;1-1-1-1-2
P3PRRRR3G1P3;S5PRRRR3;1-1-1-1-2
P3PRRRR3G1P8;S5PRRRR3;1-1-1-1-2
P3PRRRR3G2P1;S5PRRRR3;1-1-1-1-2
P3PRRRR3G2P3;S5PRRRR3;1-1-1-1-2
P3PRRRR3G2P9;S5PRRRR3;1-1-1-1-2
P3PRRRR3G3P1;S5PRRRR3;1-1-1-1-2
P3PRRRR3G3P2;S5PRRRR3;1-1-1-1-2
P3PRRRR3G4P2;S5PRRRR3;1-1-1-1-2
P3PRRRR3G9P1;S5PRRRR3;1-1-1-1-2
P3PRRRR3G9P8;S5PRRRR3;1-1-1-1-2
P3PRRRR3V1G1P2;S5PRRRR3V1;1-1-1-1-2
P3PRRRR3V1G1P3;S5PRRRR3V1;1-1-1-1-2
P3PRRRR3V1G1P8;S5PRRRR3V1;1-1-1-1-2
P3PRRRR3V1G2P1;S5PRRRR3V1;1-1-1-1-2
P3PRRRR3V1G2P3;S5PRRRR3V1;1-1-1-1-2
P3PRRRR3V1G2P9;S5PRRRR3V1;1-1-1-1-2
P3PRRRR3V1G3P1;S5PRRRR3V1;1-1-1-1-2
P3PRRRR3V1G3P2;S5PRRRR3V1;1-1-1-1-2
P3PRRRR3V1G4P2;S5PRRRR3V1;1-1-1-1-2
P3PRRRR3V1G9P1;S5PRRRR3V1;1-1-1-1-2
P3PRRRR3V1G9P8;S5PRRRR3V1;1-1-1-1-2
P3PRRRR4G1P2;S5PRRRR4;1-1-1-2-2
P3PRRRR4G1P3;S5PRRRR4;1-1-1-2-2
P3PRRRR4G1P8;S5PRRRR4;1-1-1-2-2
P3PRRRR4G2P1;S5PRRRR4;1-1-1-2-2
P3PRRRR4G2P3;S5PRRRR4;1-1-1-2-2
P3PRRRR4G2P9;S5PRRRR4;1-1-1-2-2
P3PRRRR4G3P1;S5PRRRR4;1-1-1-2-2
P3PRRRR4G3P2;S5PRRRR4;1-1-1-2-2
P3PRRRR4G4P2;S5PRRRR4;1-1-1-2-2
P3PRRRR4G9P1;S5PRRRR4;1-1-1-2-2
P3PRRRR4G9P8;S5PRRRR4;1-1-1-2-2
P3PRRRR4V1G1P2;S5PRRRR4V1;1-1-1-2-2
P3PRRRR4V1G1P3;S5PRRRR4V1;1-1-1-2-2
P3PRRRR4V1G1P8;S5PRRRR4V1;1-1-1-2-2
P3PRRRR4V1G2P1;S5PRRRR4V1;1-1-1-2-2
P3PRRRR4V1G2P3;S5PRRRR4V1;1-1-1-2-2
P3PRRRR4V1G2P9;S5PRRRR4V1;1-1-1-2-2
P3PRRRR4V1G3P1;S5PRRRR4V1;1-1-1-2-2
P3PRRRR4V1G3P2;S5PRRRR4V1;1-1-1-2-2
P3PRRRR4V1G9P1;S5PRRRR4V1;1-1-1-2-2
P3PRRRR4V1G9P8;S5PRRRR4V1;1-1-1-2-2
P3PRRRR6G1P1;S5PRRRR6;1-2-2-1-1
P3PRRRR6G1P2;S5PRRRR6;1-2-2-3-3
P3PRRRR6G1P3;S5PRRRR6;1-2-2-3-3
P3PRRRR6G1P9;S5PRRRR6;1-2-2-3-3
P3PRRRR6G2P1;S5PRRRR6;1-2-2-3-3
P3PRRRR6G2P2;S5PRRRR6;1-2-2-1-1
P3PRRRR6G2P3;S5PRRRR6;1-2-2-3-3
