Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG;Wertebereich freie Winkel
P3RRPRR4G1P2A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;a
P3RRPRR4G1P3A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;a
P3RRPRR4G1P8A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;a
P3RRPRR4G2P1A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;a
P3RRPRR4G2P3A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;a
P3RRPRR4G3P1A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;a
P3RRPRR4G3P2A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;a
P3RRPRR4G4P2A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;a
P3RRPRR4G9P1A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;a
P3RRPRR4G9P8A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;a
